TANGGAL,AKTUAL,PREDIKSI,PREDIKSI_MM,AKTUAL_MM
2024-06-11,0.032183908045977,0.12531635,14.46150679,3.7140229885057456
2024-06-12,0.0,0.100871794,11.640605027600001,0.0
2024-06-13,0.7494252873563219,0.524481,60.5251074,86.48367816091955
2024-06-14,1.0,0.21534988,24.851376152,115.4
2024-06-15,0.0,0.1889884,21.80926136,0.0
2024-06-16,0.032183908045977,0.33977357,39.20986997800001,3.7140229885057456
2024-06-17,0.0,0.31528494,36.383882076000006,0.0
2024-06-18,0.0,0.007814132,0.9017508328,0.0
2024-06-19,0.0,0.10271023,11.852760542,0.0
2024-06-20,0.0,0.26291716,30.340640264,0.0
2024-06-21,0.032183908045977,0.058898017,6.7968311618,3.7140229885057456
2024-06-22,0.0,-0.025862291,-2.9845083814,0.0
2024-06-23,0.0,-0.002136819,-0.2465889126,0.0
2024-06-24,0.0,0.103009954,11.887348691600002,0.0
2024-06-25,0.0,0.1042224,12.027264960000002,0.0
2024-06-26,0.0,0.1807,20.85278,0.0
2024-06-27,0.032183908045977,0.052405976,6.0476496304000005,3.7140229885057456
2024-06-28,0.5517241379310345,0.41524974,47.919819996,63.66896551724138
2024-06-29,0.7586206896551724,0.31925493,36.842018922,87.54482758620689
2024-06-30,0.0,0.4416677,50.968452580000005,0.0
2024-07-01,0.0,0.10681194,12.326097876,0.0
2024-07-02,0.0,0.1541923,17.79379142,0.0
2024-07-03,0.032183908045977,0.32782486,37.830988844000004,3.7140229885057456
2024-07-04,0.6712643678160919,0.101974435,11.767849799,77.463908045977
2024-07-05,0.2160919540229885,0.75797504,87.47031961600001,24.937011494252875
2024-07-06,0.0,0.24872598,28.702978092000002,0.0
2024-07-07,0.032183908045977,0.21527016,24.842176464,3.7140229885057456
2024-07-08,0.032183908045977,0.35260007,40.690048078000004,3.7140229885057456
2024-07-09,0.0,0.6761863,78.03189902000001,0.0
2024-07-10,0.0,0.41319117,47.682261018000005,0.0
2024-07-11,0.0,0.37316403,43.063129062,0.0
2024-07-12,0.0,0.111815,12.903451,0.0
2024-07-13,0.0,0.025846504,2.9826865616,0.0
2024-07-14,0.0,0.11606043,13.393373622000002,0.0
2024-07-15,0.0,-0.030904554,-3.5663855316000004,0.0
2024-07-16,0.0,-0.08556516,-9.874219464000001,0.0
2024-07-17,0.0,-0.03483989,-4.020523306,0.0
2024-07-18,0.0,-0.018823557,-2.1722384778,0.0
2024-07-19,0.0,0.074341655,8.579026987,0.0
2024-07-20,0.0,-0.029970758,-3.4586254732,0.0
2024-07-21,0.0,0.16437596,18.968985784,0.0
2024-07-22,0.0,0.058727648,6.777170579200001,0.0
2024-07-23,0.0,0.16487429,19.026493066,0.0
2024-07-24,0.0,0.10844451,12.514496454,0.0
2024-07-25,0.0,0.21068332,24.312855128000002,0.0
2024-07-26,0.0,0.11467817,13.233860818,0.0
2024-07-27,0.0,0.11355199,13.103899646000002,0.0
2024-07-28,0.0,0.03319803,3.8310526620000007,0.0
2024-07-29,0.0,0.20232227,23.347989958,0.0
2024-07-30,0.0,0.28028658,32.345071332,0.0
2024-07-31,0.0,0.28332412,32.695603448,0.0
2024-08-01,0.4597701149425287,0.3776174,43.57704796,53.05747126436781
2024-08-02,0.0,0.34239835,39.512769590000005,0.0
2024-08-03,0.0,0.3663524,42.277066960000006,0.0
2024-08-04,0.0,0.44526884,51.384024136,0.0
